address,label,category
0xdac17f958d2ee523a2206206994597c13d831ec7,Tether: USDT Stablecoin,STABLECOIN
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Circle: USDC Stablecoin,STABLECOIN
0x6b175474e89094c44da98b954eedeac495271d0f,MakerDAO: DAI Stablecoin,STABLECOIN
0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,CEX
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance 15,CEX
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance 16,CEX
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance: Binance-Peg Tokens,CEX
0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase 1,CEX
0x503828976d22510aad0201ac7ec88293211d23da,Coinbase 2,CEX
0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase: Miscellaneous,CEX
0xa090e606e30bd747d4e6245a1517ebc436400001,Wintermute Trading: Main,MM
0x4f3a120e72c76c22ae802d129f599bfdbc31cb81,Wintermute Trading 2,MM
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,Wintermute: Gnosis Safe,MM
0xf977814e90da44bfa03b6295a0616a897441acec,Binance Hot Wallet 6,CEX
0x53d284357ec70ce289d6d64134dfac8e511c8a3d,Vitalik Buterin,INFLUENCER
0xab5801a7d398351b8be11c439e05c5b3259aec9b,Vitalik Buterin (Vb 3),INFLUENCER
0x220866b1a2219f40e72f5c628b65d54268ca3a9d,Vitalik Buterin (Vb 2),INFLUENCER
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,Optimism: Gateway,BRIDGE
0x40ec5b33f54e0af72a0fc235487fb9552796384a,Polygon (Matic): ERC20 Bridge,BRIDGE
0xa0c68c638235ee32657e8f720a23cec1bfc77c77,Polygon: Bridge,BRIDGE
0x3e135c3e981f9801a2a3843d836b721869d9e6cc,Arbitrum: Bridge,BRIDGE
0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,Uniswap V3: Factory,DEX
0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,Uniswap V2: Factory,DEX
0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x Protocol: Exchange Proxy,DEX
0x881d40237659c251811cec9c364ef91dc08d300c,Metamask: Swap Router,DEX
0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Uniswap V3: Router 2,DEX
0xe592427a0aece92de3edee1f18e0157c05861564,Uniswap V3: Router,DEX
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,Uniswap V2: Router 2,DEX
0x1111111254fb6c44bac0bed2854e76f90643097d,1inch v4: Router,DEX
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,Binance: Binance-Peg Tokens,CEX
0x47ac0fb4f2d84898e4d9e7b4dab3c24507a6d503,Binance: Hot Wallet 10,CEX
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance: Hot Wallet 15,CEX
0x56eddb7aa87536c09ccc2793473599fd21a8b17f,Binance: Hot Wallet 20,CEX
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,Binance: Hot Wallet 21,CEX
0xf977814e90da44bfa03b6295a0616a897441acec,Binance: Hot Wallet 6,CEX
0x3c783c21a0383057d128bae431894a5c4146b7dc,Coinbase: Hot Wallet,CEX
0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Coinbase: Hot Wallet 2,CEX
0x503828976d22510aad0201ac7ec88293211d23da,Coinbase: Hot Wallet 3,CEX
0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase: Hot Wallet 4,CEX
0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io: Hot Wallet 1,CEX
0x1c4b70a3968436b9a0a9cf5205c787eb81bb558c,Gate.io: Hot Wallet 2,CEX
0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,FTX Exchange (Bankrupt),SCAM
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange 2 (Bankrupt),SCAM
0x77696bb39917c91a0c3908d577d5e322095425ca,Alameda Research (Bankrupt),SCAM
0x9c855a72a7cc33c0429a39772d1f0578c751c11a,Alameda Research 2,SCAM
0xf3b952f1b055bae267ac1386223253e7215e4425,Jump Trading,MM
0x5f5835b0d6439e701977717467657d425a746a81,Jump Trading 2,MM
0x9b43d22359749594f8615c48b71d604b786c4786,Amber Group,MM
0x0d4a11d5eeaa0c8f11d9405221f1d1e9637fd687,Curve.fi: Pool Owner,DEX
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,Aave: Lending Pool V2,DEX
